@W: CS222 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\SRL16E.v":48:4:48:10|Ignoring specify block
@W: CG921 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_module.v":29:28:29:38|w_loop_read is already declared in this scope.
@W: CG360 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\Global_NET.v":12:9:12:15|Removing wire GND_net, as there is no assignment to it.
@W: CG360 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\Global_NET.v":12:18:12:24|Removing wire VCC_net, as there is no assignment to it.
@W: CG532 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\SRL16E.v":33:4:33:10|Within an initial block, only Verilog force statements and memory $readmemh/$readmemb initialization statements are recognized, and all other content is ignored.
@W: CG133 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\SRL16E.v":20:16:20:20|Object count is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":57:10:57:16|Object send_en is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":127:0:127:5|Pruning unused register cnt_rdy. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":59:0:59:5|Pruning unused register recv_err. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":59:0:59:5|Pruning unused register check_byte[7:0]. Make sure that there are no unused intermediate registers.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":127:0:127:5|Optimizing register bit rdy1 to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":127:0:127:5|Pruning unused register rdy1. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\com_from_fk.v":127:0:127:5|Pruning unused register state_rdy. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":271:0:271:5|Pruning unused register out_flag. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":271:0:271:5|Pruning unused register count_data_delay[9:0]. Make sure that there are no unused intermediate registers.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit command[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit command[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[0] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[1] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[2] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Optimizing register bit reset_counter[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Pruning register bit 7 of command[7:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Pruning register bit 3 of command[7:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
